ANATOMICAL DESCRIPTION,LABEL,NOTATION,ABBREVIATION,NETWORK
Left Amygdala,Amygdala_L,L. Amygdala,AMYG_L,Salience
Right Amygdala,Amygdala_R,R. Amygdala,AMYG_R,Salience
Left Angular Gyrus,Angular_L,L. Angular,ANG_L,DMN
Right Angular Gyrus,Angular_R,R. Angular,ANG_R,DMN
Left Calcarine Fissure And Surrounding Cortex,Calcarine_L,L. Calcarine,CAL_L,Visual
Right Calcarine Fissure And Surrounding Cortex,Calcarine_R,R. Calcarine,CAL_R,Visual
Left Caudate Nucleus,Caudate_L,L. Caudate,CAU_L,Subcortical
Right Caudate Nucleus,Caudate_R,R. Caudate,CAU_R,Subcortical
Left Lobule III Of Cerebellar Hemisphere,Cerebelum_3_L,L. Cerebellum (3),CER3_L,Cerebellar
Right Lobule III Of Cerebellar Hemisphere,Cerebelum_3_R,R. Cerebellum (3),CER3_R,Cerebellar
Left Lobule IV V Of Cerebellar Hemisphere,Cerebelum_4_5_L,L. Cerebellum (4 5),CER4_5_L,Cerebellar
Right Lobule IV V Of Cerebellar Hemisphere,Cerebelum_4_5_R,R. Cerebellum (4 5),CER4_5_R,Cerebellar
Left Lobule VI Of Cerebellar Hemisphere,Cerebelum_6_L,L. Cerebellum (6),CER6_L,Cerebellar
Right Lobule VI Of Cerebellar Hemisphere,Cerebelum_6_R,R. Cerebellum (6),CER6_R,Cerebellar
Left Lobule VIII Of Cerebellar Hemisphere,Cerebelum_8_L,L. Cerebellum (8),CER8_L,Cerebellar
Right Lobule VIII Of Cerebellar Hemisphere,Cerebelum_8_R,R. Cerebellum (8),CER8_R,Cerebellar
Left Lobule IX Of Cerebellar Hemisphere,Cerebelum_9_L,L. Cerebellum (9),CER9_L,Cerebellar
Right Lobule IX Of Cerebellar Hemisphere,Cerebelum_9_R,R. Cerebellum (9),CER9_R,Cerebellar
Left Crus I Of Cerebellar Hemisphere,Cerebelum_Crus1_L,L. Cerebellum (Crus 1),CERCRU1_L,Cerebellar
Right Crus I Of Cerebellar Hemisphere,Cerebelum_Crus1_R,R. Cerebellum (Crus 1),CERCRU1_R,Cerebellar
Left Crus II Of Cerebellar Hemisphere,Cerebelum_Crus2_L,L. Cerebellum (Crus 2),CERCRU2_L,Cerebellar
Right Crus II Of Cerebellar Hemisphere,Cerebelum_Crus2_R,R. Cerebellum (Crus 2),CERCRU2_R,Cerebellar
Left Anterior Cingulate And Paracingulate Gyri,Cingulum_Ant_L,L. Cingulate Ant.,ACC_L,Salience
Right Anterior Cingulate And Paracingulate Gyri,Cingulum_Ant_R,R. Cingulate Ant.,ACC_R,Salience
Left Middle Cingulate And Paracingulate Gyri,Cingulum_Mid_L,L. Cingulate Mid.,MCC_L,Salience
Right Middle Cingulate And Paracingulate Gyri,Cingulum_Mid_R,R. Cingulate Mid.,MCC_R,Salience
Left Posterior Cingulate Gyrus,Cingulum_Post_L,L. Cingulate Post.,PCC_L,DMN
Right Posterior Cingulate Gyrus,Cingulum_Post_R,R. Cingulate Post.,PCC_R,DMN
Left Cuneus,Cuneus_L,L. Cuneus,CUN_L,Visual
Right Cuneus,Cuneus_R,R. Cuneus,CUN_R,Visual
Left Inferior Frontal Gyrus Opercular Part,Frontal_Inf_Oper_L,L. Frontal Inf. (Oper),IFGoperc_L,Salience
Right Inferior Frontal Gyrus Opercular Part,Frontal_Inf_Oper_R,R. Frontal Inf. (Oper),IFGoperc_R,Salience
Left Inferior Frontal Gyrus Orbital Part,Frontal_Inf_Orb_L,L. Frontal Inf. (Orb),IFGorb_L,Salience
Right Inferior Frontal Gyrus Orbital Part,Frontal_Inf_Orb_R,R. Frontal Inf. (Orb),IFGorb_R,Salience
Left Inferior Frontal Gyrus Triangular Part,Frontal_Inf_Tri_L,L. Frontal Inf. (Tri),IFGtriang_L,Executive Control
Right Inferior Frontal Gyrus Triangular Part,Frontal_Inf_Tri_R,R. Frontal Inf. (Tri),IFGtriang_R,Executive Control
Left Superior Frontal Gyrus Medial Orbital,Frontal_Med_Orb_L,L. Frontal Med (Orb),PFCventmed_L,DMN
Right Superior Frontal Gyrus Medial Orbital,Frontal_Med_Orb_R,R. Frontal Med (Orb),PFCventmed_R,DMN
Left Middle Frontal Gyrus,Frontal_Mid_L,L. Frontal Mid.,MFG_L,Executive Control
Left Middle Frontal Gyrus Orbital Part,Frontal_Mid_Orb_L,L. Frontal Mid. (Orb),MFGorb_L,Executive Control
Right Middle Frontal Gyrus Orbital Part,Frontal_Mid_Orb_R,R. Frontal Mid. (Orb),MFGorb_R,Executive Control
Right Middle Frontal Gyrus,Frontal_Mid_R,R. Frontal Mid.,MFG_R,Executive Control
Left Superior Frontal Gyrus Dorsolateral,Frontal_Sup_L,L. Frontal Sup.,SFG_L,Executive Control
Left Superior Frontal Gyrus Medial Part,Frontal_Sup_Medial_L,L. Frontal Sup. (Medial),SFGmedial_L,DMN
