Model,Cross Validation,Dimensionality Reduction,ACC,AUC,F1,SENS,SPEC,STD ACC,STD AUC,STD F1,STD SENS,STD SPEC
SVM,Stratified 5-Fold,SelectKBest k=4000,0.70,0.76,0.69,0.67,0.73,0.06,0.05,0.06,0.05,0.07
SVM,LOSO,SelectKBest k=2000,0.69,0.75,0.67,0.66,0.73,0.04,0.06,0.05,0.07,0.05
RF,Stratified 5-Fold,SelectKBest k=3000,0.67,0.74,0.62,0.57,0.76,0.04,0.03,0.04,0.05,0.08
RF,LOSO,SelectKBest k=3000,0.65,0.72,0.60,0.55,0.74,0.04,0.05,0.08,0.10,0.09
XGB,Stratified 5-Fold,SelectKBest k=2000,0.67,0.73,0.64,0.60,0.73,0.04,0.04,0.05,0.06,0.05
XGB,LOSO,SelectKBest k=2000,0.65,0.72,0.62,0.60,0.70,0.05,0.06,0.08,0.12,0.08
GCN,Stratified 5-Fold,SelectKBest k=4000,0.70,0.76,0.68,0.66,0.74,0.04,0.04,0.03,0.08,0.14
GCN,LOSO,SelectKBest k=5000,0.72,0.78,0.70,0.71,0.72,0.07,0.06,0.08,0.08,0.09
SVM,Stratified 5-Fold,PCA,0.70,0.77,0.66,0.61,0.78,0.04,0.04,0.04,0.03,0.07
SVM,LOSO,PCA,0.68,0.76,0.64,0.60,0.74,0.05,0.05,0.08,0.10,0.10
RF,Stratified 5-Fold,PCA,0.63,0.71,0.47,0.35,0.89,0.03,0.05,0.08,0.08,0.05
RF,LOSO,PCA,0.61,0.70,0.42,0.30,0.91,0.06,0.07,0.13,0.12,0.07
XGB,Stratified 5-Fold,PCA,0.64,0.71,0.59,0.54,0.74,0.03,0.03,0.05,0.08,0.03
XGB,LOSO,PCA,0.66,0.73,0.63,0.61,0.70,0.06,0.07,0.08,0.11,0.10
GCN,Stratified 5-Fold,PCA,0.68,0.76,0.62,0.57,0.78,0.02,0.02,0.06,0.12,0.10
GCN,LOSO,PCA,0.70,0.76,0.69,0.68,0.71,0.06,0.06,0.07,0.08,0.10
SVM,Stratified 5-Fold,Autoencoder,0.69,0.75,0.67,0.65,0.72,0.05,0.03,0.04,0.03,0.08
SVM,LOSO,Autoencoder,0.70,0.77,0.68,0.66,0.73,0.06,0.06,0.08,0.09,0.08
RF,Stratified 5-Fold,Autoencoder,0.68,0.75,0.66,0.63,0.73,0.03,0.04,0.04,0.05,0.06
RF,LOSO,Autoencoder,0.69,0.75,0.66,0.63,0.74,0.08,0.07,0.10,0.12,0.11
XGB,Stratified 5-Fold,Autoencoder,0.70,0.76,0.67,0.65,0.74,0.04,0.03,0.04,0.05,0.07
XGB,LOSO,Autoencoder,0.68,0.75,0.66,0.65,0.70,0.06,0.06,0.07,0.07,0.10
GCN,Stratified 5-Fold,Autoencoder,0.69,0.75,0.67,0.66,0.71,0.03,0.03,0.03,0.04,0.03
GCN,LOSO,Autoencoder,0.68,0.76,0.66,0.64,0.71,0.05,0.07,0.08,0.12,0.12
